# U585 demo 20 VCP capture
# port=COM3 baud=115200 seconds=5
# utc=2026-07-12T05:11:14.2385792Z

[NS] [U585][19] ax=4294967104
[NS] [U585][19] ay=4294966932
[NS] [U585][19] az=16802
[NS] [U585][19] gx=23
[NS] [U585][19] ax=4294967110
[NS] [U585][19] ay=4294966956
[NS] [U585][19] az=16819
[NS] [U585][19] gx=25
[NS] [U585][19] ax=4294967106
[NS] [U585][19] ay=4294966942
[NS] [U585][19] az=16814
[NS] [U585][19] gx=24
[NS] [U585][19] ax=4294967106
[NS] [U585][19] ay=4294966944
[NS] [U585][19] az=16825
[NS] [U585][19] gx=19
[NS] [U585][19] ax=4294967108
[NS] [U585][19] ay=4294966943
[NS] [U585][19] az=16804
[NS] [U585][19] gx=30
[NS] [U585][19] ax=4294967104
[NS] [U585][19] ay=4294966951
[NS] [U585][19] az=16812
[NS] [U585][19] gx=30
[NS] [U585][19] ax=4294967090
[NS] [U585][19] ay=4294966944
[NS] [U585][19] az=16812
[NS] [U585][19] gx=19
[NS] [U585][19] ax=4294967110
[NS] [U585][19] ay=4294966930
[NS] [U585][19] az=16814
[NS] [U585][19] gx=30
[NS] [U585][19] ax=4294967094
[NS] [U585][19] ay=4294966938
[NS] [U585][19] az=16809
[NS] [U585][19] gx=28
[NS] [U585][19] ax=4294967093
[NS] [U585][19] ay=4294966950
[NS] [U585][19] az=16808
[NS] [U585][19] gx=24
[S] Secure world ready
[NS] [U585][20] IIS2MDC magnetometer
[NS] [U585][20] i2c_ready=1
[NS] [U585][20] WHO_AM_I=64
[NS] [U585][20] who_ok=1
[S] Secure world ready
[NS] [U585][20] IIS2MDC magnetometer
[NS] [U585][20] i2c_ready=1
[NS] [U585][20] WHO_AM_I=64
[NS] [U585][20] who_ok=1
[NS] [U585][20] mx=455
[NS] [U585][20] my=602
[NS] [U585][20] mz=253
[NS] [U585][20] mx=459
[NS] [U585][20] my=607
[NS] [U585][20] mz=257
[NS] [U585][20] mx=453
[NS] [U585][20] my=596
[NS] [U585][20] mz=258
[NS] [U585][20] mx=456
[NS] [U585][20] my=597
[NS] [U585][20] mz=255
[NS] [U585][20] mx=454
[NS] [U585][20] my=606
[NS] [U585][20] mz=255
[NS] [U585][20] mx=459
[NS] [U585][20] my=599
[NS] [U585][20] mz=254
[NS] [U585][20] mx=455
[NS] [U585][20] my=598
[NS] [U585][20] mz=258
[NS] [U585][20] mx=456
[NS] [U585][20] my=607
[NS] [U585][20] mz=256
[NS] [U585][20] mx=458
[NS] [U585][20] my=597
[NS] [U585][20] mz=254
[NS] [U585][20] mx=452
[NS] [U585][20] my=600
[NS] [U585][20] mz=255
[NS] [U585][20] mx=455
[NS] [U585][20] my=600
[NS] [U585][20] mz=255
