# U585 demo 12 VCP capture
# port=COM3 baud=115200 seconds=8
# utc=2026-07-12T05:04:54.9568302Z

[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=10
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=20
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=30
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=40
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=50
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=60
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=70
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=80
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=90
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=100
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=110
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=120
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=130
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=140
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=150
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=160
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=170
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=180
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=190
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=200
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=210
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=220
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=230
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] heartbeat=240
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U585][03] led_state=1
[NS] [U585][03] led_state=2
[NS] [U5
[S] Secure world ready
[NS] [U585][12] I2C2 bus scan (PH4=SCL PH5=SDA)
[NS] [U585][12] i2c_ready=1
[NS] [U585][12] found_addr7=16
[NS] [U585][12] found_addr7=30
[NS] [U585][12] found_addr7=86
[NS] [U585][12] found_addr7=93
[NS] [U585][12] found_addr7=94
[NS] [U585][12] found_addr7=95
[NS] [U585][12] found_addr7=107
[NS] [U585][12] found_count=7
