# U585 demo 19 VCP capture
# port=COM3 baud=115200 seconds=5
# utc=2026-07-12T05:10:58.7033172Z

[NS] [U585][18] raw_press=4076003
[NS] [U585][18] raw_temp=3435
[NS] [U585][18] raw_press=4076002
[NS] [U585][18] raw_temp=3435
[NS] [U585][18] raw_press=4075851
[NS] [U585][18] raw_temp=3435
[NS] [U585][18] raw_press=4076160
[NS] [U585][18] raw_temp=3435
[NS] [U585][18] raw_press=4075907
[NS] [U585][18] raw_temp=3434
[S] Secure world ready
[NS] [U585][19] ISM330DHCX IMU
[NS] [U585][19] i2c_ready=1
[NS] [U585][19] WHO_AM_I=107
[NS] [U585][19] who_ok=1
[S] Secure world ready
[NS] [U585][19] ISM330DHCX IMU
[NS] [U585][19] i2c_ready=1
[NS] [U585][19] WHO_AM_I=107
[NS] [U585][19] who_ok=1
[NS] [U585][19] ax=4294967099
[NS] [U585][19] ay=4294966944
[NS] [U585][19] az=16748
[NS] [U585][19] gx=19
[NS] [U585][19] ax=4294967099
[NS] [U585][19] ay=4294966933
[NS] [U585][19] az=16782
[NS] [U585][19] gx=18
[NS] [U585][19] ax=4294967088
[NS] [U585][19] ay=4294966945
[NS] [U585][19] az=16790
[NS] [U585][19] gx=35
[NS] [U585][19] ax=4294967102
[NS] [U585][19] ay=4294966947
[NS] [U585][19] az=16791
[NS] [U585][19] gx=31
[NS] [U585][19] ax=4294967089
[NS] [U585][19] ay=4294966938
[NS] [U585][19] az=16798
[NS] [U585][19] gx=23
[NS] [U585][19] ax=4294967099
[NS] [U585][19] ay=4294966957
[NS] [U585][19] az=16800
[NS] [U585][19] gx=25
[NS] [U585][19] ax=4294967110
[NS] [U585][19] ay=4294966944
[NS] [U585][19] az=16803
[NS] [U585][19] gx=25
[NS] [U585][19] ax=42949671
02
[NS] [U585][19] ay=4294966952
[NS] [U585][19] az=16812
[NS] [U585][19] gx=31
[NS] [U585][19] ax=4294967105
[NS] [U585][19] ay=4294966951
[NS] [U585][19] az=16808
[NS] [U585][19] gx=25
[NS] [U585][19] ax=4294967102
[NS] [U585][19] ay=4294966942
[NS] [U585][19] az=16811
[NS] [U585][19] gx=23
[NS] [U585][19] ax=4294967102
[NS] [U585][19] ay=4294966943
[NS] [U585][19] az=16809
[NS] [U585][19] gx=32
